filename,label,label_name,transcription,intelligibility,num_error_segs,mean_confidence
1_1287.npy,1,dysarthric,FOWL,98.5,0,0.9852
1_843.npy,1,dysarthric,THEN WE'D RIALL,96.9,0,0.9694
0_273.npy,0,non_dysarthric,JUST ONE SIDE GOT WET,98.1,0,0.9815
1_1474.npy,1,dysarthric,WE MUST BE READY,97.6,0,0.9756
0_352.npy,0,non_dysarthric,TIX,97.6,0,0.9762
0_85.npy,0,non_dysarthric,LEFT,98.2,0,0.9819
0_268.npy,0,non_dysarthric,SEARCH,99.1,0,0.9911
0_128.npy,0,non_dysarthric,CON,96.6,1,0.9657
0_315.npy,0,non_dysarthric,BUT HUMILITY IFS OVER,93.8,2,0.938
1_1424.npy,1,dysarthric,IT WAS TIME TO G,98.0,0,0.9798
0_341.npy,0,non_dysarthric,YET HE STILL THINKS AS,97.5,0,0.9755
1_1867.npy,1,dysarthric,I LOOKED UP,97.1,0,0.9711
0_390.npy,0,non_dysarthric,DARK,98.4,0,0.984
0_325.npy,0,non_dysarthric,I JUST TRIED TO DO MY,97.2,0,0.9718
1_1116.npy,1,dysarthric,HAIL,97.8,0,0.9777
1_1517.npy,1,dysarthric,BAG,99.9,0,0.9987
1_1748.npy,1,dysarthric,DUG,99.0,0,0.9904
1_1175.npy,1,dysarthric,A FIRE IN A S,97.5,1,0.9751
1_1383.npy,1,dysarthric,HAN,98.7,0,0.9874
0_279.npy,0,non_dysarthric,NOTHINGIS AS A,95.5,1,0.9554
1_1587.npy,1,dysarthric,OWL,99.7,0,0.997
1_1319.npy,1,dysarthric,THE PLOT IS,98.7,0,0.9867
0_358.npy,0,non_dysarthric,FAIR,98.7,0,0.9872
1_1142.npy,1,dysarthric,BEST,98.9,0,0.9891
0_17.npy,0,non_dysarthric,YOU KNOW,95.2,1,0.952
1_647.npy,1,dysarthric,HE,97.9,0,0.9789
1_890.npy,1,dysarthric,FAIR,98.3,0,0.9835
1_800.npy,1,dysarthric,DAY AFTER D,98.8,0,0.9881
1_1078.npy,1,dysarthric,DO THEY MAKE AN,98.2,0,0.9822
1_741.npy,1,dysarthric,PE,97.9,1,0.9793
1_1241.npy,1,dysarthric,EARS,98.1,0,0.9809
1_1252.npy,1,dysarthric,[unclear],86.1,0,0.8613
0_343.npy,0,non_dysarthric,NEW,98.7,1,0.9868
1_638.npy,1,dysarthric,I,97.2,1,0.9723
1_1982.npy,1,dysarthric,SEVEN,99.1,0,0.9913
0_110.npy,0,non_dysarthric,NO,98.6,0,0.9864
1_1128.npy,1,dysarthric,GOD,97.9,0,0.9792
0_387.npy,0,non_dysarthric,POARING,98.3,0,0.9827
0_314.npy,0,non_dysarthric,FICA,97.7,0,0.977
1_1157.npy,1,dysarthric,CASH,99.3,0,0.9932
0_25.npy,0,non_dysarthric,PING,96.0,2,0.9598
1_1072.npy,1,dysarthric,CHOP,99.3,0,0.9935
1_1433.npy,1,dysarthric,FEED,98.3,0,0.9831
0_454.npy,0,non_dysarthric,[unclear],95.9,0,0.9595
0_206.npy,0,non_dysarthric,HE DRESSS HANDS OFF,94.6,0,0.9464
1_1652.npy,1,dysarthric,BUST,97.5,0,0.9745
1_2045.npy,1,dysarthric,HEART,99.0,0,0.9898
1_1841.npy,1,dysarthric,MOTHE,98.8,1,0.9877
0_120.npy,0,non_dysarthric,GO,99.8,0,0.9983
1_1281.npy,1,dysarthric,FAN,99.1,0,0.9907
1_1382.npy,1,dysarthric,CAKE,99.3,0,0.993
0_444.npy,0,non_dysarthric,CAR,97.4,0,0.9745
1_955.npy,1,dysarthric,HELP CELEBRATE Y,98.3,0,0.9833
1_1795.npy,1,dysarthric,DON'T ASK ME JI,95.4,2,0.9539
1_1842.npy,1,dysarthric,WHITE,98.9,0,0.9886
1_868.npy,1,dysarthric,HELP GRAGG,97.9,0,0.9787
1_1719.npy,1,dysarthric,SIP,99.2,0,0.9921
1_698.npy,1,dysarthric,CU,99.1,0,0.9915
1_2102.npy,1,dysarthric,YOU KNOW,96.9,0,0.9688
0_295.npy,0,non_dysarthric,SIH,97.8,1,0.9779
1_1935.npy,1,dysarthric,WE GATHERED SHALLS,94.7,2,0.9466
1_2095.npy,1,dysarthric,WHICH,99.0,0,0.9904
1_1723.npy,1,dysarthric,AIR,99.6,0,0.9956
1_779.npy,1,dysarthric,EIGHT,98.4,0,0.9837
1_1730.npy,1,dysarthric,SPARK,99.3,0,0.9933
1_925.npy,1,dysarthric,NOD,99.2,0,0.9921
1_778.npy,1,dysarthric,LEAGUE,97.7,0,0.9766
1_1463.npy,1,dysarthric,TORN,98.6,0,0.9863
1_1408.npy,1,dysarthric,WHACK,99.2,0,0.9925
1_2085.npy,1,dysarthric,JULIET,99.4,0,0.994
0_421.npy,0,non_dysarthric,BETDER,98.2,1,0.9817
0_131.npy,0,non_dysarthric,YES,98.7,0,0.9871
1_1289.npy,1,dysarthric,CHARM,98.9,0,0.9886
1_1884.npy,1,dysarthric,NIGHT,97.4,0,0.9741
1_1720.npy,1,dysarthric,E,97.6,0,0.9763
1_1495.npy,1,dysarthric,CALL,99.5,0,0.9951
1_902.npy,1,dysarthric,IN,99.3,0,0.9934
1_1410.npy,1,dysarthric,SHORT,98.5,0,0.9852
0_162.npy,0,non_dysarthric,EXCEPT IN THE WINTER,97.9,0,0.9789
1_1502.npy,1,dysarthric,NOT,98.3,0,0.9834
1_1614.npy,1,dysarthric,SEVERAL PAINT,97.8,0,0.9779
0_266.npy,0,non_dysarthric,I LICKED UP AND NOTICED TO,95.9,1,0.9591
1_1685.npy,1,dysarthric,THEY COULD WALK,99.0,0,0.99
1_1138.npy,1,dysarthric,FENDER,99.3,0,0.9934
1_765.npy,1,dysarthric,START,99.1,0,0.9912
1_1444.npy,1,dysarthric,FARM,99.0,0,0.9896
1_1543.npy,1,dysarthric,FILE,98.4,0,0.9836
1_874.npy,1,dysarthric,BITTER,98.7,0,0.987
0_310.npy,0,non_dysarthric,HE WILL ALLOW A WEARE LI,93.6,0,0.9358
0_394.npy,0,non_dysarthric,RACE,99.5,0,0.9952
1_1493.npy,1,dysarthric,BOT,97.8,0,0.9784
1_1225.npy,1,dysarthric,LIES,98.4,0,0.9837
1_1828.npy,1,dysarthric,HERE,97.8,1,0.9782
1_799.npy,1,dysarthric,THE MUSE,98.9,0,0.9893
1_593.npy,1,dysarthric,[unclear],77.4,0,0.7739
1_1656.npy,1,dysarthric,SLEM,98.4,0,0.9841
1_1877.npy,1,dysarthric,BRIGHT S,95.8,1,0.9585
1_840.npy,1,dysarthric,THE PROSPEC,99.6,0,0.9963
1_935.npy,1,dysarthric,NO,99.5,0,0.9946
1_1156.npy,1,dysarthric,IT REQUIRES NO,98.1,0,0.9811
1_728.npy,1,dysarthric,CAKE,99.2,0,0.9921
1_937.npy,1,dysarthric,YOU CAN RIDE,98.3,0,0.9834
1_1521.npy,1,dysarthric,SPACE,99.7,0,0.9968
1_1312.npy,1,dysarthric,I DIDN'T KNOW,98.4,0,0.9844
0_221.npy,0,non_dysarthric,DOVER,97.6,0,0.9764
1_1802.npy,1,dysarthric,BUD,99.8,0,0.9982
1_716.npy,1,dysarthric,HOTEL,99.3,0,0.993
1_1487.npy,1,dysarthric,PAID,99.2,0,0.9919
1_1736.npy,1,dysarthric,BUBBL,97.9,1,0.979
1_1599.npy,1,dysarthric,SO ANL,97.8,1,0.9781
1_1800.npy,1,dysarthric,PHIP,97.9,0,0.9792
0_35.npy,0,non_dysarthric,WELL OFF GOD CON,91.1,3,0.9108
1_1394.npy,1,dysarthric,WAX,99.4,0,0.9945
1_668.npy,1,dysarthric,[unclear],98.4,0,0.9839
1_1087.npy,1,dysarthric,RIP,99.4,0,0.9937
1_1110.npy,1,dysarthric,FEAR,99.2,0,0.9916
1_625.npy,1,dysarthric,G,99.7,0,0.9966
0_322.npy,0,non_dysarthric,MENU,97.6,1,0.9761
1_1732.npy,1,dysarthric,ELPHA,98.4,0,0.9839
1_1985.npy,1,dysarthric,SURGEON,98.3,0,0.9833
1_1021.npy,1,dysarthric,KATE,98.7,0,0.9874
1_969.npy,1,dysarthric,THIN,98.6,0,0.9859
1_1429.npy,1,dysarthric,LAST YEAR'S,98.1,0,0.9813
0_156.npy,0,non_dysarthric,TWICE E,97.5,0,0.9753
1_1111.npy,1,dysarthric,AT TWILIGH,98.5,0,0.9849
1_1338.npy,1,dysarthric,PAN,99.1,0,0.9906
0_517.npy,0,non_dysarthric,PAY,99.6,0,0.9956
1_651.npy,1,dysarthric,[unclear],88.3,0,0.8831
1_1840.npy,1,dysarthric,MOTHER,98.9,0,0.9888
1_1897.npy,1,dysarthric,WISH,99.6,0,0.9959
0_227.npy,0,non_dysarthric,DON'T ASK ME TO CARRY IT OR,96.1,0,0.9613
0_367.npy,0,non_dysarthric,NO,99.6,0,0.9957
1_1330.npy,1,dysarthric,CHOP,99.3,0,0.9926
0_460.npy,0,non_dysarthric,THAT,99.1,0,0.9905
0_433.npy,0,non_dysarthric,FOUR,99.0,0,0.9904
1_558.npy,1,dysarthric,SWA,97.6,1,0.9759
1_622.npy,1,dysarthric,TOR,99.3,0,0.9931
1_2063.npy,1,dysarthric,LOYAL,96.7,2,0.9667
1_2089.npy,1,dysarthric,FIT,98.3,0,0.9833
1_862.npy,1,dysarthric,TREAD,99.7,0,0.9975
1_1356.npy,1,dysarthric,WE HAVE TO EXPECT,98.4,0,0.9837
0_274.npy,0,non_dysarthric,EIGHT,97.0,0,0.9702
1_1358.npy,1,dysarthric,INK,99.5,0,0.9952
0_472.npy,0,non_dysarthric,HERE,99.0,0,0.9901
0_123.npy,0,non_dysarthric,INGRAFIN HIMSELF,93.5,2,0.9347
1_1201.npy,1,dysarthric,CATOSTROPHIC,99.0,0,0.9897
1_1659.npy,1,dysarthric,PORCH,99.0,0,0.9902
1_1746.npy,1,dysarthric,STUBBLE,98.3,0,0.9833
1_962.npy,1,dysarthric,DON'T DO,99.0,0,0.9902
1_1837.npy,1,dysarthric,GOT,97.1,1,0.9711
1_1757.npy,1,dysarthric,YOU WISHD,96.5,0,0.9645
0_214.npy,0,non_dysarthric,KLON,97.7,0,0.9771
0_134.npy,0,non_dysarthric,[unclear],95.6,0,0.9556
0_198.npy,0,non_dysarthric,GLOW,99.2,0,0.9921
1_1574.npy,1,dysarthric,WILL YOU PLEASE,99.0,0,0.9904
0_40.npy,0,non_dysarthric,AY,97.9,1,0.9785
1_889.npy,1,dysarthric,DREAD,99.1,0,0.9911
